IR#582,11.3984375
IR#288,8.984375
IR#127,8.296875
IR#279,8.1953125
IR#78,8.125
IR#382,8.0546875
IR#136,8.0078125
IR#87,7.9140625
IR#401,7.82421875
IR#132,7.7734375
IR#100,7.734375
IR#327,7.6640625
IR#94,7.6328125
IR#66,7.61328125
IR#109,7.5390625
IR#71,7.50390625
IR#193,7.46875
IR#62,7.44140625
IR#118,7.42578125
IR#80,7.296875
IR#55,7.25390625
IR#253,7.12890625
IR#120,6.9375
IR#578,6.91015625
IR#107,6.8828125
IR#502,6.8671875
IR#263,6.83984375
IR#89,6.76171875
IR#342,6.75390625
IR#434,6.640625
IR#202,6.625
IR#418,6.6171875
IR#384,6.5546875
IR#141,6.48046875
IR#146,6.48046875
IR#335,6.46875
IR#294,6.45703125
IR#323,6.453125
IR#157,6.44921875
IR#300,6.4296875
IR#365,6.4140625
IR#281,6.41015625
IR#290,6.3984375
IR#394,6.3984375
IR#581,6.3984375
IR#349,6.359375
IR#331,6.30859375
IR#369,6.28515625
IR#170,6.28125
IR#357,6.2734375
IR#312,6.22265625
IR#422,6.1953125
IR#580,6.16015625
IR#195,6.15625
IR#426,6.1328125
IR#306,6.07421875
IR#228,6.046875
IR#235,6.03125
IR#259,5.98828125
IR#353,5.98828125
IR#503,5.94921875
IR#249,5.9375
IR#450,5.93359375
IR#177,5.9296875
IR#243,5.89453125
IR#393,5.89453125
IR#500,5.89453125
IR#319,5.88671875
IR#269,5.859375
IR#430,5.859375
IR#361,5.84375
IR#403,5.81640625
IR#438,5.81640625
IR#185,5.8125
IR#455,5.78515625
IR#164,5.77734375
IR#221,5.76953125
IR#151,5.74609375
IR#442,5.74609375
IR#208,5.71484375
IR#459,5.64453125
IR#216,5.59375
IR#414,5.578125
IR#579,5.44921875
IR#93,5.43359375
IR#501,5.3671875
IR#408,5.3203125
IR#463,5.109375
IR#547,5.10546875
IR#99,4.8671875
IR#49,4.515625
IR#280,4.51171875
IR#215,4.47265625
IR#119,4.4375
IR#498,4.3125
IR#108,4.234375
IR#126,3.953125
IR#377,3.943359375
IR#576,3.865234375
IR#383,3.84765625
IR#51,3.78515625
IR#242,3.740234375
IR#402,3.71875
IR#79,3.71484375
IR#514,3.6328125
IR#571,3.546875
IR#479,3.541015625
