model,project,version,min_rank
codeT5plus,Lang,28,29
codeT5plus,Lang,29,101
codeT5plus,Lang,30,44
codeT5plus,Lang,31,745
codeT5plus,Lang,32,77
codeT5plus,Lang,33,272
codeT5plus,Lang,34,429
codeT5plus,Lang,35,587
codeT5plus,Lang,36,358
codeT5plus,Lang,37,550
codeT5plus,Lang,38,335
codeT5plus,Lang,39,1417
codeT5plus,Lang,40,1329
codeT5plus,Lang,41,19
codeT5plus,Lang,42,287
codeT5plus,Lang,43,260
codeT5plus,Lang,44,234
codeT5plus,Lang,45,178
codeT5plus,Lang,46,113
codeT5plus,Lang,47,610
codeT5plus,Lang,48,163
codeT5plus,Lang,49,404
codeT5plus,Lang,50,38
codeT5plus,Lang,51,53
codeT5plus,Lang,52,1
codeT5plus,Lang,53,35
codeT5plus,Lang,54,41
codeT5plus,Lang,55,70
codeT5plus,Lang,56,160
codeT5plus,Lang,57,113
codeT5plus,Lang,58,325
codeT5plus,Lang,59,939
codeT5plus,Lang,60,922
codeT5plus,Lang,61,716
codeT5plus,Lang,62,238
codeT5plus,Lang,63,74
codeT5plus,Lang,64,34
codeT5plus,Lang,65,207
codeT5plus,Math,1,313
codeT5plus,Math,2,137
codeT5plus,Math,3,598
codeT5plus,Math,4,46
codeT5plus,Math,5,192
codeT5plus,Math,6,23
codeT5plus,Math,7,119
codeT5plus,Math,8,58
codeT5plus,Math,9,39
codeT5plus,Math,10,535
codeT5plus,Math,11,97
codeT5plus,Math,12,6
codeT5plus,Math,13,166
codeT5plus,Math,14,19
codeT5plus,Math,15,1921
codeT5plus,Math,16,964
codeT5plus,Math,17,739
codeT5plus,Math,18,483
codeT5plus,Math,19,119
codeT5plus,Math,20,133
codeT5plus,Math,21,15
codeT5plus,Math,22,69
codeT5plus,Math,23,49
codeT5plus,Math,24,142
codeT5plus,Math,25,113
codeT5plus,Math,26,115
codeT5plus,Math,27,257
codeT5plus,Math,28,32
codeT5plus,Math,29,163
codeT5plus,Math,30,60
codeT5plus,Math,31,14
codeT5plus,Math,32,87
codeT5plus,Math,33,138
codeT5plus,Math,34,68
codeT5plus,Math,35,23
codeT5plus,Math,36,101
codeT5plus,Math,37,185
codeT5plus,Math,38,483
codeT5plus,Math,39,106
codeT5plus,Math,40,87
codeT5plus,Math,41,161
codeT5plus,Math,42,203
codeT5plus,Math,43,146
codeT5plus,Math,44,111
codeT5plus,Math,45,30
codeT5plus,Math,46,100
codeT5plus,Math,47,129
codeT5plus,Math,48,60
codeT5plus,Math,49,391
codeT5plus,Math,50,5
codeT5plus,Math,51,62
codeT5plus,Math,52,202
codeT5plus,Math,53,100
codeT5plus,Math,54,190
codeT5plus,Math,55,191
codeT5plus,Math,56,28
codeT5plus,Math,57,41
codeT5plus,Math,58,42
codeT5plus,Math,59,2043
codeT5plus,Math,60,2
codeT5plus,Math,61,41
codeT5plus,Math,62,75
codeT5plus,Math,63,835
codeT5plus,Math,64,24
codeT5plus,Math,65,48
codeT5plus,Math,66,3
codeT5plus,Math,67,49
codeT5plus,Math,68,87
codeT5plus,Math,69,53
codeT5plus,Math,70,25
codeT5plus,Math,71,8
codeT5plus,Math,72,33
codeT5plus,Math,73,103
codeT5plus,Math,74,8
codeT5plus,Math,75,207
codeT5plus,Math,76,6
codeT5plus,Math,77,78
codeT5plus,Math,78,21
codeT5plus,Math,79,628
codeT5plus,Math,80,656
codeT5plus,Math,81,382
codeT5plus,Math,82,42
codeT5plus,Math,83,66
codeT5plus,Math,84,10
codeT5plus,Math,85,69
codeT5plus,Math,86,91
codeT5plus,Math,87,24
codeT5plus,Math,88,17
codeT5plus,Math,89,102
codeT5plus,Math,90,50
codeT5plus,Math,91,43
codeT5plus,Math,92,156
codeT5plus,Math,93,95
codeT5plus,Math,94,259
codeT5plus,Math,95,38
codeT5plus,Math,96,242
codeT5plus,Math,97,10
codeT5plus,Math,98,685
codeT5plus,Math,99,66
codeT5plus,Math,100,67
codeT5plus,Math,101,60
codeT5plus,Math,102,46
codeT5plus,Math,103,43
codeT5plus,Math,104,91
codeT5plus,Math,105,100
codeT5plus,Math,106,63
codeT5plus,Mockito,1,101
codeT5plus,Mockito,2,12
codeT5plus,Mockito,3,83
codeT5plus,Mockito,4,162
codeT5plus,Mockito,5,60
codeT5plus,Mockito,6,47
codeT5plus,Mockito,7,109
codeT5plus,Mockito,8,253
codeT5plus,Mockito,9,2
codeT5plus,Mockito,10,47
codeT5plus,Mockito,11,11
codeT5plus,Mockito,12,6
codeT5plus,Mockito,13,50
codeT5plus,Mockito,14,32
codeT5plus,Mockito,15,17
codeT5plus,Mockito,16,33
codeT5plus,Mockito,17,35
codeT5plus,Mockito,18,23
codeT5plus,Mockito,19,14
codeT5plus,Mockito,20,46
codeT5plus,Mockito,21,12
codeT5plus,Mockito,22,20
codeT5plus,Mockito,23,17
codeT5plus,Mockito,24,4
codeT5plus,Mockito,25,7
codeT5plus,Mockito,26,47
codeT5plus,Mockito,27,37
codeT5plus,Mockito,28,42
codeT5plus,Mockito,29,22
codeT5plus,Mockito,30,140
codeT5plus,Mockito,31,18
codeT5plus,Mockito,32,28
codeT5plus,Mockito,33,74
codeT5plus,Mockito,34,65
codeT5plus,Mockito,35,73
codeT5plus,Mockito,36,147
codeT5plus,Mockito,37,23
codeT5plus,Mockito,38,15
codeT5plus,Time,1,57
codeT5plus,Time,2,66
codeT5plus,Time,3,224
codeT5plus,Time,4,216
codeT5plus,Time,5,389
codeT5plus,Time,6,183
codeT5plus,Time,7,209
codeT5plus,Time,8,181
codeT5plus,Time,9,246
codeT5plus,Time,10,71
codeT5plus,Time,11,77
codeT5plus,Time,12,141
codeT5plus,Time,13,421
codeT5plus,Time,14,56
codeT5plus,Time,15,84
codeT5plus,Time,16,94
codeT5plus,Time,17,271
codeT5plus,Time,18,306
codeT5plus,Time,19,438
codeT5plus,Time,20,240
codeT5plus,Time,21,6
codeT5plus,Time,22,153
codeT5plus,Time,23,369
codeT5plus,Time,24,76
codeT5plus,Time,25,112
codeT5plus,Time,26,136
codeT5plus,Time,27,728
