model,project,version,min_rank
incoder,Math,45,64
incoder,Math,46,296
incoder,Math,47,105
incoder,Math,48,34
incoder,Math,49,437
incoder,Math,50,22
incoder,Math,51,34
incoder,Math,52,45
incoder,Math,53,214
incoder,Math,54,208
incoder,Math,55,197
incoder,Math,56,10
incoder,Math,57,56
incoder,Math,58,114
incoder,Math,59,1529
incoder,Math,60,8
incoder,Math,61,68
incoder,Math,62,42
incoder,Math,63,738
incoder,Math,64,67
incoder,Math,65,38
incoder,Math,66,17
incoder,Math,67,45
incoder,Math,68,216
incoder,Math,69,88
incoder,Math,70,23
incoder,Math,71,35
incoder,Math,72,85
incoder,Math,73,138
incoder,Math,74,93
incoder,Math,75,209
incoder,Math,76,16
incoder,Math,77,45
incoder,Math,78,71
incoder,Math,79,329
incoder,Math,80,417
incoder,Math,81,290
incoder,Math,82,66
incoder,Math,83,154
incoder,Math,84,6
incoder,Math,85,54
incoder,Math,86,130
incoder,Math,87,52
incoder,Math,88,59
incoder,Math,89,149
incoder,Math,90,112
incoder,Math,91,187
incoder,Math,92,163
incoder,Math,93,207
incoder,Math,94,200
incoder,Math,95,35
incoder,Math,96,248
incoder,Math,97,29
incoder,Math,98,618
incoder,Math,99,237
incoder,Math,100,79
incoder,Math,101,4
incoder,Math,102,76
incoder,Math,103,62
incoder,Math,104,48
incoder,Math,105,120
incoder,Math,106,20
incoder,Mockito,1,90
incoder,Mockito,2,11
incoder,Mockito,3,75
incoder,Mockito,4,221
incoder,Mockito,5,47
incoder,Mockito,6,84
incoder,Mockito,7,318
incoder,Mockito,8,289
incoder,Mockito,9,3
incoder,Mockito,10,30
incoder,Mockito,11,8
incoder,Mockito,12,7
incoder,Mockito,13,55
incoder,Mockito,14,20
incoder,Mockito,15,20
incoder,Mockito,16,83
incoder,Mockito,17,29
incoder,Mockito,18,7
incoder,Mockito,19,12
incoder,Mockito,20,25
incoder,Mockito,21,18
incoder,Mockito,22,23
incoder,Mockito,23,13
incoder,Mockito,24,8
incoder,Mockito,25,13
incoder,Mockito,26,27
incoder,Mockito,27,54
incoder,Mockito,28,37
incoder,Mockito,29,15
incoder,Mockito,30,133
incoder,Mockito,31,20
incoder,Mockito,32,33
incoder,Mockito,33,40
incoder,Mockito,34,42
incoder,Mockito,35,120
incoder,Mockito,36,121
incoder,Mockito,37,21
incoder,Mockito,38,24
incoder,Time,1,129
incoder,Time,2,146
incoder,Time,3,389
incoder,Time,4,361
incoder,Time,5,160
incoder,Time,6,320
incoder,Time,7,327
incoder,Time,8,6
incoder,Time,9,320
incoder,Time,10,126
incoder,Time,11,30
incoder,Time,12,112
incoder,Time,13,942
incoder,Time,14,112
incoder,Time,15,76
incoder,Time,16,214
incoder,Time,17,303
incoder,Time,18,343
incoder,Time,19,187
incoder,Time,20,726
incoder,Time,21,8
incoder,Time,22,103
incoder,Time,23,421
incoder,Time,24,73
incoder,Time,25,259
incoder,Time,26,280
incoder,Time,27,817
