IR#107,6.15625
IR#109,6.05859375
IR#136,6.046875
IR#71,5.9375
IR#55,5.90234375
IR#66,5.87890625
IR#78,5.875
IR#62,5.85546875
IR#87,5.78515625
IR#100,5.77734375
IR#288,5.67578125
IR#401,5.62890625
IR#342,5.609375
IR#193,5.59765625
IR#127,5.578125
IR#80,5.54296875
IR#118,5.51953125
IR#382,5.46484375
IR#279,5.453125
IR#434,5.3046875
IR#365,5.29296875
IR#349,5.27734375
IR#120,5.23828125
IR#141,5.1328125
IR#369,5.10546875
IR#132,5.08203125
IR#94,5.078125
IR#327,5.078125
IR#49,4.95703125
IR#89,4.95703125
IR#157,4.91796875
IR#253,4.91015625
IR#459,4.85546875
IR#263,4.796875
IR#450,4.7734375
IR#202,4.69921875
IR#384,4.63671875
IR#335,4.6171875
IR#300,4.58984375
IR#146,4.57421875
IR#235,4.50390625
IR#503,4.5
IR#353,4.43359375
IR#438,4.42578125
IR#323,4.37109375
IR#151,4.359375
IR#259,4.35546875
IR#394,4.3515625
IR#312,4.33984375
IR#331,4.33984375
IR#216,4.33203125
IR#306,4.31640625
IR#578,4.27734375
IR#582,4.2578125
IR#164,4.25390625
IR#185,4.22265625
IR#442,4.19140625
IR#243,4.18359375
IR#228,4.15234375
IR#170,4.12890625
IR#221,4.12109375
IR#249,4.12109375
IR#403,4.12109375
IR#177,4.09765625
IR#422,4.09765625
IR#418,4.05859375
IR#426,4.05859375
IR#357,4.05078125
IR#414,4.05078125
IR#281,4.04296875
IR#319,4.0390625
IR#430,4.015625
IR#408,4.01171875
IR#290,4.0
IR#361,3.978515625
IR#455,3.947265625
IR#463,3.931640625
IR#269,3.751953125
IR#294,3.734375
IR#99,3.68359375
IR#581,3.669921875
IR#500,3.6484375
IR#195,3.619140625
IR#93,3.546875
IR#208,3.509765625
IR#501,3.5
IR#579,3.37109375
IR#502,3.353515625
IR#393,3.296875
IR#580,3.275390625
IR#498,3.19140625
IR#576,3.1875
IR#108,3.173828125
IR#215,3.169921875
IR#91,3.0859375
IR#280,3.07421875
IR#479,3.072265625
IR#242,3.052734375
IR#514,3.00390625
IR#119,2.970703125
IR#79,2.7734375
IR#51,2.732421875
IR#402,2.681640625
IR#126,2.64453125
IR#88,2.638671875
IR#383,2.630859375
IR#64,2.6171875
IR#251,2.6015625
IR#53,2.5859375
IR#194,2.541015625
IR#134,2.515625
IR#289,2.384765625
IR#261,2.326171875
IR#238,2.31640625
IR#432,2.302734375
IR#440,2.30078125
IR#237,2.28515625
IR#428,2.169921875
IR#84,2.130859375
IR#83,2.076171875
IR#510,2.04296875
IR#68,2.01171875
IR#129,1.9716796875
IR#96,1.9501953125
IR#75,1.939453125
IR#285,1.931640625
IR#436,1.9111328125
IR#494,1.90234375
IR#73,1.8662109375
IR#74,1.85546875
IR#106,1.8427734375
IR#377,1.83984375
IR#474,1.8359375
IR#54,1.8095703125
IR#292,1.77734375
IR#255,1.7548828125
IR#265,1.75
IR#276,1.7392578125
IR#204,1.7236328125
IR#417,1.716796875
IR#433,1.716796875
IR#437,1.7138671875
IR#424,1.7060546875
IR#65,1.7021484375
IR#542,1.68359375
IR#425,1.681640625
IR#485,1.671875
IR#190,1.662109375
IR#359,1.6455078125
IR#102,1.638671875
IR#112,1.6064453125
IR#103,1.5849609375
IR#558,1.5810546875
IR#556,1.576171875
IR#355,1.5673828125
IR#475,1.560546875
IR#416,1.55859375
IR#138,1.552734375
IR#115,1.548828125
IR#122,1.548828125
IR#104,1.54296875
IR#135,1.54296875
IR#491,1.5244140625
IR#398,1.5224609375
IR#457,1.5205078125
IR#218,1.51953125
IR#555,1.515625
